file,manner,path,agent,itemset
rotate_to_1.mp4,rotate,to,1,W
rotate_to_2.mp4,rotate,to,2,W
rotate_to_3.mp4,rotate,to,3,W
rotate_to_8.mp4,rotate,to,8,W
rotate_tofar_1.mp4,rotate,tofar,1,W
rotate_tofar_2.mp4,rotate,tofar,2,W
rotate_tofar_3.mp4,rotate,tofar,3,W
rotate_tofar_8.mp4,rotate,tofar,8,W
rotate_circle_1.mp4,rotate,circle,1,W
rotate_circle_2.mp4,rotate,circle,2,W
rotate_circle_3.mp4,rotate,circle,3,W
rotate_circle_8.mp4,rotate,circle,8,W
rotate_onto_1.mp4,rotate,onto,1,W
rotate_onto_2.mp4,rotate,onto,2,W
rotate_onto_3.mp4,rotate,onto,3,W
rotate_onto_8.mp4,rotate,onto,8,W
rock_to_1.mp4,rock,to,1,W
rock_to_2.mp4,rock,to,2,W
rock_to_3.mp4,rock,to,3,W
rock_to_8.mp4,rock,to,8,W
rock_tofar_1.mp4,rock,tofar,1,W
rock_tofar_2.mp4,rock,tofar,2,W
rock_tofar_3.mp4,rock,tofar,3,W
rock_tofar_8.mp4,rock,tofar,8,W
rock_circle_1.mp4,rock,circle,1,W
rock_circle_2.mp4,rock,circle,2,W
rock_circle_3.mp4,rock,circle,3,W
rock_circle_8.mp4,rock,circle,8,W
rock_onto_1.mp4,rock,onto,1,W
rock_onto_2.mp4,rock,onto,2,W
rock_onto_3.mp4,rock,onto,3,W
rock_onto_8.mp4,rock,onto,8,W
sine_to_1.mp4,sine,to,1,W
sine_to_2.mp4,sine,to,2,W
sine_to_3.mp4,sine,to,3,W
sine_to_8.mp4,sine,to,8,W
sine_tofar_1.mp4,sine,tofar,1,W
sine_tofar_2.mp4,sine,tofar,2,W
sine_tofar_3.mp4,sine,tofar,3,W
sine_tofar_8.mp4,sine,tofar,8,W
sine_circle_1.mp4,sine,circle,1,W
sine_circle_2.mp4,sine,circle,2,W
sine_circle_3.mp4,sine,circle,3,W
sine_circle_8.mp4,sine,circle,8,W
sine_onto_1.mp4,sine,onto,1,W
sine_onto_2.mp4,sine,onto,2,W
sine_onto_3.mp4,sine,onto,3,W
sine_onto_8.mp4,sine,onto,8,W
wheelie_to_1.mp4,wheelie,to,1,W
wheelie_to_2.mp4,wheelie,to,2,W
wheelie_to_3.mp4,wheelie,to,3,W
wheelie_to_8.mp4,wheelie,to,8,W
wheelie_tofar_1.mp4,wheelie,tofar,1,W
wheelie_tofar_2.mp4,wheelie,tofar,2,W
wheelie_tofar_3.mp4,wheelie,tofar,3,W
wheelie_tofar_8.mp4,wheelie,tofar,8,W
wheelie_circle_1.mp4,wheelie,circle,1,W
wheelie_circle_2.mp4,wheelie,circle,2,W
wheelie_circle_3.mp4,wheelie,circle,3,W
wheelie_circle_8.mp4,wheelie,circle,8,W
wheelie_onto_1.mp4,wheelie,onto,1,W
wheelie_onto_2.mp4,wheelie,onto,2,W
wheelie_onto_3.mp4,wheelie,onto,3,W
wheelie_onto_8.mp4,wheelie,onto,8,W
halfrotate_past_4.mp4,halfrotate,past,4,X
halfrotate_past_5.mp4,halfrotate,past,5,X
halfrotate_past_6.mp4,halfrotate,past,6,X
halfrotate_past_7.mp4,halfrotate,past,7,X
halfrotate_under_4.mp4,halfrotate,under,4,X
halfrotate_under_5.mp4,halfrotate,under,5,X
halfrotate_under_6.mp4,halfrotate,under,6,X
halfrotate_under_7.mp4,halfrotate,under,7,X
halfrotate_behind_4.mp4,halfrotate,behind,4,X
halfrotate_behind_5.mp4,halfrotate,behind,5,X
halfrotate_behind_6.mp4,halfrotate,behind,6,X
halfrotate_behind_7.mp4,halfrotate,behind,7,X
halfrotate_underfar_4.mp4,halfrotate,underfar,4,X
halfrotate_underfar_5.mp4,halfrotate,underfar,5,X
halfrotate_underfar_6.mp4,halfrotate,underfar,6,X
halfrotate_underfar_7.mp4,halfrotate,underfar,7,X
bounce_past_4.mp4,bounce,past,4,X
bounce_past_5.mp4,bounce,past,5,X
bounce_past_6.mp4,bounce,past,6,X
bounce_past_7.mp4,bounce,past,7,X
bounce_under_4.mp4,bounce,under,4,X
bounce_under_5.mp4,bounce,under,5,X
bounce_under_6.mp4,bounce,under,6,X
bounce_under_7.mp4,bounce,under,7,X
bounce_behind_4.mp4,bounce,behind,4,X
bounce_behind_5.mp4,bounce,behind,5,X
bounce_behind_6.mp4,bounce,behind,6,X
bounce_behind_7.mp4,bounce,behind,7,X
bounce_underfar_4.mp4,bounce,underfar,4,X
bounce_underfar_5.mp4,bounce,underfar,5,X
bounce_underfar_6.mp4,bounce,underfar,6,X
bounce_underfar_7.mp4,bounce,underfar,7,X
vibrate_past_4.mp4,vibrate,past,4,X
vibrate_past_5.mp4,vibrate,past,5,X
vibrate_past_6.mp4,vibrate,past,6,X
vibrate_past_7.mp4,vibrate,past,7,X
vibrate_under_4.mp4,vibrate,under,4,X
vibrate_under_5.mp4,vibrate,under,5,X
vibrate_under_6.mp4,vibrate,under,6,X
vibrate_under_7.mp4,vibrate,under,7,X
vibrate_behind_4.mp4,vibrate,behind,4,X
vibrate_behind_5.mp4,vibrate,behind,5,X
vibrate_behind_6.mp4,vibrate,behind,6,X
vibrate_behind_7.mp4,vibrate,behind,7,X
vibrate_underfar_4.mp4,vibrate,underfar,4,X
vibrate_underfar_5.mp4,vibrate,underfar,5,X
vibrate_underfar_6.mp4,vibrate,underfar,6,X
vibrate_underfar_7.mp4,vibrate,underfar,7,X
stopstart_past_4.mp4,stopstart,past,4,X
stopstart_past_5.mp4,stopstart,past,5,X
stopstart_past_6.mp4,stopstart,past,6,X
stopstart_past_7.mp4,stopstart,past,7,X
stopstart_under_4.mp4,stopstart,under,4,X
stopstart_under_5.mp4,stopstart,under,5,X
stopstart_under_6.mp4,stopstart,under,6,X
stopstart_under_7.mp4,stopstart,under,7,X
stopstart_behind_4.mp4,stopstart,behind,4,X
stopstart_behind_5.mp4,stopstart,behind,5,X
stopstart_behind_6.mp4,stopstart,behind,6,X
stopstart_behind_7.mp4,stopstart,behind,7,X
stopstart_underfar_4.mp4,stopstart,underfar,4,X
stopstart_underfar_5.mp4,stopstart,underfar,5,X
stopstart_underfar_6.mp4,stopstart,underfar,6,X
stopstart_underfar_7.mp4,stopstart,underfar,7,X
none_control1_1.mp4,none,control1,1,Y
none_control1_2.mp4,none,control1,2,Y
none_control1_3.mp4,none,control1,3,Y
none_control1_8.mp4,none,control1,8,Y
none_control2_1.mp4,none,control2,1,Y
none_control2_2.mp4,none,control2,2,Y
none_control2_3.mp4,none,control2,3,Y
none_control2_8.mp4,none,control2,8,Y
none_control3_1.mp4,none,control3,1,Y
none_control3_2.mp4,none,control3,2,Y
none_control3_3.mp4,none,control3,3,Y
none_control3_8.mp4,none,control3,8,Y
none_control4_1.mp4,none,control4,1,Y
none_control4_2.mp4,none,control4,2,Y
none_control4_3.mp4,none,control4,3,Y
none_control4_8.mp4,none,control4,8,Y
none_control5_4.mp4,none,control5,4,Z
none_control5_5.mp4,none,control5,5,Z
none_control5_6.mp4,none,control5,6,Z
none_control5_7.mp4,none,control5,7,Z
none_control6_4.mp4,none,control6,4,Z
none_control6_5.mp4,none,control6,5,Z
none_control6_6.mp4,none,control6,6,Z
none_control6_7.mp4,none,control6,7,Z
none_control7_4.mp4,none,control7,4,Z
none_control7_5.mp4,none,control7,5,Z
none_control7_6.mp4,none,control7,6,Z
none_control7_7.mp4,none,control7,7,Z
none_control8_4.mp4,none,control8,4,Z
none_control8_5.mp4,none,control8,5,Z
none_control8_6.mp4,none,control8,6,Z
none_control8_7.mp4,none,control8,7,Z
